group,query_count,hit_at_1,hit_at_3,hit_at_5,recall_at_5,recall_at_10,mrr_at_10,article_hit_at_1,article_hit_at_3,article_hit_at_5,article_mrr_at_10
easy,10,0.7000000000,0.7000000000,0.9000000000,0.8000000000,0.8333333333,0.7500000000,0.7000000000,0.9000000000,0.9000000000,0.8000000000
hard,8,0.3750000000,0.5000000000,0.5000000000,0.3839285714,0.5615079365,0.4864583333,0.5000000000,0.8750000000,0.8750000000,0.6875000000
medium,13,0.5384615385,0.6923076923,0.6923076923,0.3115384615,0.4089743590,0.6025641026,0.6923076923,0.8461538462,0.8461538462,0.7564102564
