group,query_count,hit_at_1,hit_at_3,hit_at_5,recall_at_5,recall_at_10,mrr_at_10,article_hit_at_1,article_hit_at_3,article_hit_at_5,article_mrr_at_10
easy,10,0.6000000000,0.9000000000,1.0000000000,0.8500000000,0.9166666667,0.7750000000,0.8000000000,1.0000000000,1.0000000000,0.9000000000
hard,8,0.3750000000,0.5000000000,0.8750000000,0.5218253968,0.7222222222,0.5428571429,0.5000000000,1.0000000000,1.0000000000,0.7500000000
medium,13,0.5384615385,0.7692307692,0.9230769231,0.5128205128,0.6769230769,0.6589743590,0.6153846154,0.8461538462,0.9230769231,0.7461538462
