document_id,document_number,document_title,document_type,issuing_authority,issued_date,effective_from,effective_to,status,corpus_layer,official_source_url,extraction_source_url,official_pdf_path,working_docx_path,extraction_method,official_pdf_hash,working_docx_hash,verification_status,verified_by,notes,
134-2025-QH15,134/2025/QH15,Luật Trí tuệ nhân tạo,luat,Quốc hội,2025-12-10,2026-03-01,,con_hieu_luc,core,https://vanban.chinhphu.vn/?docid=216334&orggroupid=1&pageid=27160,,data/raw/pdf/134-2025-QH15.pdf,data/raw/docx/134-2025-QH15.docx,docx,sha256:53be2f9993e5060cc0ce723fc506d6535c9358978dbbeff11324c8d6236cae69,sha256:fc6e87ba1b7eea3bd1cb37099e9f6d5f1e37fcd8970cca894e6e67865cdd20b7,verified,Nguyễn Minh Kha,DOCX dùng để trích xuất, PDF chính thức dùng để đối chiếu.
142-2026-ND-CP,142/2026/NĐ-CP,Nghị định hướng dẫn thi hành Luật Trí tuệ nhân tạo,nghi_dinh,Chính phủ,2026-04-30,2026-05-01,,con_hieu_luc,core,https://vanban.chinhphu.vn/?docid=218029&orggroupid=2&pageid=27160,,data/raw/pdf/142-2026-ND-CP.pdf,data/raw/docx/142-2026-ND-CP.docx,docx,sha256:988fa7091b9f70615b8ae984e7e43b15293eb31398a113c86cc34f26666d5e40,sha256:3e63b0ea3860b9d16247f52d887dea50cd2f7d0aa4d27be66b1ff3222da276e4,structure_verified,Nguyễn Minh Kha,DOCX dùng để trích xuất, PDF chính thức dùng để đối chiếu.
05-2026-TT-BKHCN,05/2026/TT-BKHCN,Khung đạo đức trí tuệ nhân tạo quốc gia,thong_tu,Bộ Khoa học và Công nghệ,2026-03-10,2026-03-10,,con_hieu_luc,core,https://vanban.chinhphu.vn/?classid=1&docid=217165&pageid=27160&typegroupid=6,,data/raw/pdf/05-2026-TT-BKHCN.pdf,data/raw/docx/05-2026-TT-BKHCN.docx,docx,sha256:45616232b7023fef199cce2d52d5896d1db59b990a74fd40648b262d11490220,sha256:e17a3067d886007f781ab026aeced743a81cb5188fea6b95a96c0e446a81bef1,verified,Nguyễn Minh Kha,DOCX dùng để trích xuất, PDF chính thức dùng để đối chiếu.
