group,query_count,hit_at_1,hit_at_3,hit_at_5,recall_at_5,recall_at_10,mrr_at_10,article_hit_at_1,article_hit_at_3,article_hit_at_5,article_mrr_at_10
easy,10,0.5000000000,0.6000000000,0.6000000000,0.6000000000,0.7833333333,0.5833333333,0.8000000000,1.0000000000,1.0000000000,0.8833333333
hard,8,0.3750000000,0.6250000000,0.7500000000,0.5009920635,0.5714285714,0.5593750000,0.5000000000,1.0000000000,1.0000000000,0.7500000000
medium,13,0.3076923077,0.6153846154,0.6153846154,0.2858974359,0.4884615385,0.4853479853,0.5384615385,0.8461538462,0.9230769231,0.7076923077
